"","x"
"year","factor"
"month","factor"
"town","factor"
"flat_type","factor"
"block","character"
"street_name","character"
"storey_range","factor"
"floor_area_sqm","numeric"
"flat_model","factor"
"lease_commence_date","integer"
"remaining_lease","integer"
"resale_price","numeric"
"date_char","character"
"date","Date"
"floor_area_sqft","numeric"
"age","integer"
"total_lease","integer"
"price_per_sqft","numeric"
"region","factor"
"lease_commence_year_bin","factor"
"remaining_lease_bin","factor"
"age_bin","factor"
"sqft_bin","factor"
"resale_price_bin","factor"
"price_psf_bin","factor"
